"Prioridad","Nombre","Direccion","Ciudad","Telefono","Website","Rating","Resenias","GoogleMaps"
"MEDIA","D ´andrea Inmobiliaria","BARRIO SAN PABLO, Eva Perón 406, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 9 336 464-5969","","3.6","26","https://www.google.com/maps/search/?api=1&query=D%20%C2%B4andrea%20Inmobiliaria&query_place_id=ChIJZafW-ZNnt5URi1PirE20N7E"
"MEDIA","Inmobiliaria Arquiobra Servicios Inmobiliarios","Francia 278, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 431-0406","http://www.arquiobra.com.ar/","4.4","23","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Arquiobra%20Servicios%20Inmobiliarios&query_place_id=ChIJIfUhb4xnt5URdyn2CU3d0dI"
"MEDIA","Giboudot Inmobiliaria","Garibaldi 266, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 443-7575","http://www.giboudot.com.ar/","4.1","23","https://www.google.com/maps/search/?api=1&query=Giboudot%20Inmobiliaria&query_place_id=ChIJsdPazYhnt5URnn-8GhKk6zk"
"MEDIA","INMOBILIARIA ESTE","25 de Mayo 263, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","","","4.5","17","https://www.google.com/maps/search/?api=1&query=INMOBILIARIA%20ESTE&query_place_id=ChIJ390IZc9nt5URdNEIE-hpO_s"
"MEDIA","Morressi Robles - Bienes Raices -","Av. Savio 858, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","","","3.1","15","https://www.google.com/maps/search/?api=1&query=Morressi%20Robles%20-%20Bienes%20Raices%20-&query_place_id=ChIJC_CuqoVdt5URD6k9PhmT9lc"
"MEDIA","Inmobiliaria del Acuerdo de Germán Crigna","9 de Julio 6, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-0612","http://www.muchaspropiedades.com.ar/inmobiliarias.php","4.5","13","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20del%20Acuerdo%20de%20Germ%C3%A1n%20Crigna&query_place_id=ChIJHe0moI9nt5URtsoUwpoXKB4"
"BAJA","Inmobiliaria Wiengreen","Garibaldi 543, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 9 336 433-8640","http://www.instagram.com/inmobiliaria_wiengreen","4.7","9","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Wiengreen&query_place_id=ChIJMQ-0Fo1nt5URE_iWJTEiJLo"
"BAJA","Inmobiliaria Julio L. Ottella","Francia 14, B2900HVB San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-2797","","4.6","8","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Julio%20L.%20Ottella&query_place_id=ChIJ99aiCYxnt5UR0XBuVfU6IRw"
"BAJA","Inmobiliaria Fincas de Christian Pusterla","De la Nación 55, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 443-5533","","3.1","7","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Fincas%20de%20Christian%20Pusterla&query_place_id=ChIJ38azpItnt5UR0pXAem7oiHU"
"BAJA","Marin Propiedades","Rivadavia 40, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-5852","","4.1","7","https://www.google.com/maps/search/?api=1&query=Marin%20Propiedades&query_place_id=ChIJLUze1otnt5UReEBH9NYWJdY"
"BAJA","ANA SANDJIAN INMOBILIARIA","Maipú 166 2900, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 467-4356","","5","6","https://www.google.com/maps/search/?api=1&query=ANA%20SANDJIAN%20INMOBILIARIA&query_place_id=ChIJdVPBkcJnt5URY999AP5SVtI"
"BAJA","Natalia Favre Propiedades","Garibaldi 256 B2900, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 456-0980","http://www.favreprop.com.ar/","2.2","6","https://www.google.com/maps/search/?api=1&query=Natalia%20Favre%20Propiedades&query_place_id=ChIJ9fPsyPxnt5URgABZI_439Jc"
"BAJA","Galmarino Juan Servicios Inmobiliarios","Av. Gral. Benito Álvarez 105, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-6174","","4.8","5","https://www.google.com/maps/search/?api=1&query=Galmarino%20Juan%20Servicios%20Inmobiliarios&query_place_id=ChIJn8grzplnt5URHHQtsE8o18k"
